CSMA_CD_episodes,CSMA_CD_low,CSMA_CD_median,CSMA_CD_high,STR_episodes,STR_low,STR_median,STR_high,RR_episodes,RR_low,RR_median,RR_high,NoneBlind_episodes,NoneBlind_low,NoneBlind_median,NoneBlind_high,NoneSeeing_episodes,NoneSeeing_low,NoneSeeing_median,NoneSeeing_high
10000,348.188,369.288,393.208,10000,351.536,374.82,394.94,10000,351.74,373.732,393.3,10000,358.26,380.8,402.216,10000,357.972,378.716,400.156
10250,349.908,371.724,393.348,10250,353.54,376.224,395.156,10250,352.368,375.096,395.644,10250,359.572,380.728,402.592,10250,356.264,380.648,402.012
10500,349.76,372.6,391.88,10500,357.788,379.748,401.24,10500,347.856,370.056,392.172,10500,359.976,379.904,401.432,10500,359.256,377.868,398.252
10750,351.436,372.744,393.844,10750,356.204,377.848,396.096,10750,351.576,373.54,393.052,10750,359.1,380.572,402.788,10750,358.1,379.848,400.596
11000,351.136,373.192,394.228,11000,352.296,371.884,394.024,11000,351.84,373.012,393.82,11000,360.276,380.508,401.616,11000,358.484,379.844,399.404
11250,349.656,372.196,396.156,11250,354.388,373.544,396.388,11250,348.532,373.964,395.012,11250,361.536,383.156,405.26,11250,359.432,379.264,398.188
11500,352.764,372.744,394.272,11500,357.5,378.816,400.748,11500,348.976,371.116,392.58,11500,363.556,383.84,402.68,11500,360.268,382.0,403.308
11750,352.1,373.388,393.048,11750,357.044,376.74,398.384,11750,349.26,370.116,393.776,11750,358.988,378.392,403.196,11750,359.1,377.936,399.308
12000,348.148,368.504,391.064,12000,356.328,378.652,397.608,12000,349.064,371.416,393.152,12000,360.26,379.404,402.432,12000,360.212,380.908,402.32
12250,348.82,369.98,393.052,12250,356.944,378.952,399.124,12250,348.384,369.748,391.588,12250,359.94,380.152,401.712,12250,358.632,377.272,399.34
12500,350.424,371.98,393.736,12500,356.46,379.176,399.748,12500,349.172,371.104,393.544,12500,361.712,382.084,400.952,12500,356.724,378.932,401.216
12750,352.884,373.584,394.712,12750,354.804,375.936,396.688,12750,348.936,370.644,393.14,12750,361.068,381.944,402.132,12750,359.98,382.744,401.308
13000,349.34,370.652,392.072,13000,356.148,378.92,400.724,13000,347.408,368.748,389.736,13000,359.792,381.072,402.532,13000,360.224,379.456,400.68
13250,349.416,371.732,391.116,13250,356.748,377.684,399.892,13250,349.244,370.272,391.924,13250,360.288,381.844,401.656,13250,358.588,379.128,400.512
13500,349.468,370.628,391.716,13500,357.008,377.308,398.612,13500,347.756,369.688,391.812,13500,363.328,383.456,406.312,13500,359.38,381.664,402.092
13750,348.796,369.944,392.24,13750,354.284,376.284,398.116,13750,345.78,368.444,390.292,13750,362.356,381.968,403.74,13750,358.236,380.472,403.22
14000,351.776,372.304,392.828,14000,357.324,378.168,399.088,14000,349.468,369.752,390.348,14000,363.876,385.568,406.724,14000,361.484,381.832,403.02
14250,349.656,368.92,390.252,14250,355.976,376.144,398.44,14250,348.688,371.256,392.576,14250,360.308,382.648,404.04,14250,361.64,382.436,401.08
14500,349.248,369.484,390.516,14500,355.548,377.132,397.508,14500,347.548,370.264,391.36,14500,361.032,382.576,402.28,14500,358.368,380.38,401.016
14750,351.48,374.072,393.82,14750,359.992,379.64,400.604,14750,349.5,372.652,395.408,14750,360.656,380.916,402.66,14750,360.648,382.052,402.052
15000,349.864,371.948,393.62,15000,357.096,377.28,399.772,15000,347.248,367.864,389.788,15000,362.684,383.96,404.448,15000,363.368,384.34,403.648
15250,348.456,370.024,392.356,15250,357.372,379.248,399.008,15250,348.028,368.548,388.972,15250,364.476,384.428,403.236,15250,359.188,382.064,404.508
15500,348.744,369.64,393.232,15500,356.9,377.644,398.436,15500,350.084,371.396,393.284,15500,362.832,382.796,407.792,15500,360.904,382.468,405.78
15750,351.764,373.308,395.596,15750,360.332,381.268,400.84,15750,348.076,368.416,389.132,15750,361.536,383.352,404.576,15750,359.78,380.216,401.032
16000,350.06,371.04,391.764,16000,359.892,381.272,399.572,16000,347.26,369.544,390.628,16000,365.164,385.132,405.28,16000,361.828,382.02,402.736
16250,349.108,371.188,392.364,16250,357.676,378.524,398.336,16250,344.964,366.18,388.492,16250,362.664,384.568,405.688,16250,360.516,381.14,401.116
16500,348.98,370.108,391.948,16500,358.104,379.8,400.8,16500,348.228,367.596,392.292,16500,361.736,382.952,404.564,16500,364.04,382.212,403.816
16750,349.588,371.656,392.952,16750,360.6,381.904,403.288,16750,348.136,370.64,392.344,16750,361.168,382.796,405.304,16750,361.896,381.88,402.256
17000,350.384,371.5,393.676,17000,355.844,378.076,400.228,17000,346.176,367.644,389.392,17000,364.164,385.644,406.18,17000,360.74,381.34,402.1
17250,352.66,371.196,390.132,17250,361.448,380.172,399.708,17250,348.08,369.46,391.548,17250,362.432,386.86,406.104,17250,358.132,382.308,403.596
17500,349.964,370.584,389.8,17500,356.064,378.084,399.644,17500,347.228,368.936,390.864,17500,361.656,382.944,402.28,17500,360.388,382.26,403.048
17750,349.168,371.5,391.04,17750,360.0,380.392,399.624,17750,348.012,370.268,391.984,17750,362.5,382.668,402.628,17750,361.608,379.748,399.88
18000,352.244,373.336,394.556,18000,357.132,378.656,400.74,18000,348.64,370.408,392.624,18000,363.812,384.564,406.492,18000,360.108,383.384,406.504
18250,349.352,371.804,392.592,18250,358.576,380.352,400.408,18250,343.028,366.088,388.424,18250,360.572,384.6,405.808,18250,360.708,382.316,403.608
18500,348.368,370.84,391.488,18500,359.96,380.172,403.136,18500,348.3,368.828,389.74,18500,364.372,385.604,407.168,18500,363.716,384.24,404.64
18750,349.528,369.664,392.3,18750,361.456,380.032,402.564,18750,348.268,369.5,389.984,18750,364.852,386.356,406.068,18750,363.504,385.96,406.12
19000,350.38,372.416,393.448,19000,357.604,380.172,401.316,19000,346.716,369.508,391.132,19000,359.692,383.056,407.032,19000,361.884,384.46,405.852
19250,349.172,372.268,394.972,19250,358.472,380.348,400.028,19250,347.636,369.24,390.008,19250,362.572,384.436,405.148,19250,362.528,383.608,403.464
19500,349.476,370.064,392.424,19500,359.48,379.548,398.732,19500,344.98,367.764,388.0,19500,362.532,382.316,401.468,19500,360.916,381.112,401.344
19750,348.932,370.472,391.824,19750,360.068,379.624,400.984,19750,346.852,369.184,391.648,19750,364.64,384.948,405.536,19750,361.128,381.812,402.516
20000,348.984,368.756,389.38,20000,358.096,379.104,400.496,20000,344.14,364.784,385.744,20000,362.816,384.448,406.704,20000,361.684,384.152,405.364
20250,352.232,371.716,393.356,20250,359.176,379.536,401.372,20250,346.116,366.212,389.56,20250,364.852,386.524,405.5,20250,362.896,381.004,401.58
20500,351.46,372.16,392.876,20500,358.616,379.58,400.08,20500,344.8,366.552,387.728,20500,364.312,386.048,405.916,20500,363.332,384.252,406.276
20750,352.2,373.016,393.424,20750,360.128,381.316,403.68,20750,346.292,369.596,391.096,20750,363.404,383.952,404.74,20750,362.404,382.136,403.304
21000,353.416,374.028,395.18,21000,360.18,381.108,402.532,21000,347.308,368.644,390.748,21000,365.272,385.992,408.768,21000,364.424,384.972,406.004
21250,349.444,373.084,394.724,21250,358.396,377.744,401.092,21250,345.448,367.952,390.056,21250,365.356,385.596,406.876,21250,361.388,383.9,404.928
21500,349.764,371.588,393.1,21500,361.504,381.412,401.5,21500,345.26,365.432,389.864,21500,364.472,385.996,406.848,21500,362.02,383.352,401.46
21750,351.588,374.152,394.816,21750,359.52,379.304,399.796,21750,347.156,367.94,389.144,21750,362.444,384.72,406.632,21750,363.036,383.808,404.2
22000,351.208,371.976,393.752,22000,358.976,380.428,400.58,22000,347.124,368.544,389.82,22000,364.296,385.712,407.304,22000,363.84,386.16,405.816
22250,349.264,370.344,392.268,22250,358.552,380.204,400.16,22250,347.52,368.344,388.404,22250,365.5,387.264,408.564,22250,365.484,387.236,405.36
22500,348.096,370.136,391.792,22500,361.836,381.408,403.036,22500,346.624,368.408,388.856,22500,366.136,386.544,406.268,22500,361.704,382.344,403.98
22750,347.716,371.02,391.064,22750,357.556,379.696,399.796,22750,345.0,367.552,388.86,22750,363.908,383.724,406.008,22750,362.424,382.844,405.276
23000,351.604,371.96,394.652,23000,358.964,381.96,402.324,23000,345.968,367.948,389.892,23000,366.008,387.144,408.424,23000,366.576,386.384,407.556
23250,352.076,373.956,393.652,23250,361.404,381.432,402.936,23250,348.16,369.828,391.68,23250,360.912,384.22,407.112,23250,363.52,384.536,405.3
23500,349.124,371.04,392.388,23500,361.748,381.84,403.164,23500,343.624,364.592,387.676,23500,361.916,382.22,403.104,23500,359.672,381.808,402.22
23750,351.188,372.4,392.968,23750,358.164,378.76,399.332,23750,345.88,368.54,390.516,23750,360.856,385.564,406.924,23750,363.836,384.8,405.508
24000,353.828,374.18,394.292,24000,360.088,382.008,402.44,24000,346.092,366.648,388.096,24000,364.948,384.964,405.348,24000,361.336,381.432,402.544
24250,350.864,371.3,393.936,24250,360.428,382.124,401.904,24250,347.952,369.32,392.096,24250,363.856,384.152,406.432,24250,361.988,384.416,406.42
24500,350.848,371.552,392.036,24500,359.296,381.72,401.5,24500,346.296,367.672,390.64,24500,367.356,387.484,408.512,24500,366.76,387.704,407.708
24750,351.636,372.404,393.924,24750,357.4,379.976,402.26,24750,346.9,368.88,391.308,24750,365.044,384.376,406.796,24750,361.624,383.088,404.288
