CSMA_CD_episodes,CSMA_CD_low,CSMA_CD_median,CSMA_CD_high,STR_episodes,STR_low,STR_median,STR_high,RR_episodes,RR_low,RR_median,RR_high,NoneBlind_episodes,NoneBlind_low,NoneBlind_median,NoneBlind_high,NoneSeeing_episodes,NoneSeeing_low,NoneSeeing_median,NoneSeeing_high
10000,512.892,543.772,578.264,10000,463.472,494.596,529.404,10000,501.98,532.908,566.256,10000,418.796,448.308,481.072,10000,415.948,449.712,483.436
10250,512.268,544.672,579.848,10250,467.096,498.604,532.748,10250,504.02,533.688,566.516,10250,419.192,452.092,483.164,10250,416.82,446.884,480.768
10500,517.772,546.54,580.88,10500,465.492,499.58,530.472,10500,501.868,533.58,568.016,10500,419.3,451.156,483.76,10500,415.752,447.592,479.688
10750,516.2,547.092,580.292,10750,467.544,499.36,529.392,10750,499.34,534.404,568.188,10750,419.024,450.92,481.136,10750,416.776,449.796,480.828
11000,514.34,547.428,578.516,11000,466.44,499.048,531.624,11000,504.856,535.812,566.452,11000,414.552,446.264,482.048,11000,415.516,446.728,476.12
11250,519.212,548.068,580.596,11250,467.236,500.9,533.596,11250,504.256,533.836,567.584,11250,418.864,450.876,486.164,11250,414.924,448.736,478.212
11500,517.54,548.272,581.132,11500,470.952,502.984,536.116,11500,502.972,537.064,567.0,11500,419.924,451.368,487.18,11500,420.116,451.796,480.976
11750,515.104,549.496,583.396,11750,468.296,501.744,533.012,11750,503.572,537.652,571.392,11750,423.588,454.856,487.18,11750,422.572,453.072,483.744
12000,515.404,549.236,579.784,12000,470.1,501.9,535.056,12000,503.772,537.5,570.912,12000,417.296,449.152,485.5,12000,418.16,452.276,485.96
12250,515.504,549.912,582.196,12250,469.292,500.12,530.38,12250,509.048,538.824,570.528,12250,420.256,453.556,486.032,12250,415.892,449.092,482.36
12500,519.356,551.848,584.9,12500,469.052,499.904,532.82,12500,508.472,541.784,572.644,12500,417.108,449.084,482.7,12500,416.672,447.864,479.296
12750,516.676,549.664,581.044,12750,470.036,501.088,535.012,12750,506.068,538.76,569.88,12750,419.928,449.336,481.496,12750,420.308,447.004,483.924
13000,517.3,552.2,585.208,13000,465.692,498.356,532.96,13000,507.524,542.332,571.32,13000,418.444,449.628,485.152,13000,416.836,450.384,483.54
13250,520.34,551.832,587.664,13250,468.328,500.556,533.556,13250,506.492,539.36,571.792,13250,418.332,452.656,484.54,13250,416.008,447.56,479.816
13500,522.048,552.144,583.652,13500,473.008,505.66,537.26,13500,509.196,540.188,569.476,13500,418.34,448.64,480.952,13500,420.532,451.976,483.464
13750,516.884,552.748,586.604,13750,470.672,503.276,539.256,13750,508.38,539.412,569.112,13750,420.184,451.5,487.428,13750,414.376,444.54,481.252
14000,518.956,548.78,583.64,14000,468.088,499.724,532.844,14000,508.452,539.072,573.18,14000,418.056,453.54,485.62,14000,419.732,451.276,482.464
14250,520.192,555.088,589.192,14250,474.156,504.232,537.284,14250,506.504,538.784,574.144,14250,421.176,454.168,485.728,14250,417.376,451.044,480.668
14500,520.892,554.592,584.472,14500,474.7,505.092,537.584,14500,508.9,542.624,576.764,14500,421.64,453.112,483.036,14500,419.724,453.66,485.708
14750,520.112,555.152,588.492,14750,474.344,504.252,538.496,14750,511.244,544.364,574.936,14750,422.28,454.82,485.472,14750,420.4,451.8,483.184
15000,524.084,557.16,587.228,15000,478.244,511.132,542.264,15000,512.328,545.396,576.9,15000,420.068,453.028,489.416,15000,418.24,449.048,488.296
15250,520.024,552.34,586.856,15250,474.308,507.208,539.372,15250,510.776,541.832,574.28,15250,418.868,454.068,486.552,15250,416.796,447.176,485.772
15500,519.612,553.588,587.38,15500,471.504,505.924,537.388,15500,511.232,541.728,573.172,15500,416.508,449.244,486.14,15500,418.172,448.308,483.764
15750,520.892,552.744,585.696,15750,474.1,504.536,535.556,15750,508.116,542.812,577.944,15750,418.24,452.5,484.788,15750,417.96,451.556,482.912
16000,522.772,553.996,587.524,16000,473.284,505.396,538.788,16000,506.14,540.424,577.144,16000,423.68,457.632,491.028,16000,416.788,450.408,484.672
16250,519.328,551.268,583.64,16250,476.724,509.216,539.896,16250,508.908,540.98,575.576,16250,421.088,453.584,485.448,16250,417.5,448.36,484.28
16500,522.14,554.252,588.616,16500,474.26,502.468,536.652,16500,508.008,541.58,573.56,16500,421.632,455.048,488.192,16500,418.4,449.588,483.572
16750,521.7,553.208,585.368,16750,475.308,506.784,540.036,16750,511.92,545.408,579.252,16750,422.3,454.0,488.044,16750,421.92,451.472,486.452
17000,522.524,554.316,587.056,17000,474.4,507.356,538.716,17000,511.576,544.384,579.3,17000,416.976,448.92,482.956,17000,413.612,447.412,480.0
17250,519.312,552.468,588.6,17250,480.004,510.1,542.256,17250,508.248,540.4,573.436,17250,419.724,453.02,486.268,17250,419.632,451.416,486.396
17500,525.66,557.064,590.256,17500,473.376,508.568,539.188,17500,513.216,545.204,577.292,17500,418.188,448.852,484.864,17500,420.324,453.66,484.716
