CSMA_CD_episodes,CSMA_CD_low,CSMA_CD_median,CSMA_CD_high,STR_episodes,STR_low,STR_median,STR_high,RR_episodes,RR_low,RR_median,RR_high,NoneBlind_episodes,NoneBlind_low,NoneBlind_median,NoneBlind_high,NoneSeeing_episodes,NoneSeeing_low,NoneSeeing_median,NoneSeeing_high
0,0.05333333333333334,0.8266666666666668,2.3733333333333335,0,0.21333333333333335,0.8533333333333334,2.8,0,0.08,0.6933333333333334,2.7733333333333334,0,0.05333333333333334,0.4266666666666667,1.76,0,0.2933333333333334,0.8266666666666668,2.6133333333333333
250,0.13333333333333333,0.5066666666666667,1.6266666666666667,250,0.02666666666666667,0.42666666666666664,1.6533333333333335,250,0.05333333333333334,0.24000000000000002,1.4933333333333332,250,0.0,0.02666666666666667,0.32,250,0.02666666666666667,0.3466666666666667,1.6266666666666667
500,0.0,0.02666666666666667,0.2933333333333334,500,0.0,0.0,0.32,500,0.0,0.0,0.08,500,0.0,0.0,0.08,500,0.0,0.02666666666666667,0.4266666666666667
750,0.0,0.02666666666666667,0.08,750,0.0,0.0,0.13333333333333333,750,0.0,0.0,0.16,750,0.0,0.05333333333333334,0.32,750,0.0,0.0,0.26666666666666666
1000,0.0,0.02666666666666667,0.10666666666666667,1000,0.0,0.0,0.02666666666666667,1000,0.0,0.02666666666666667,0.2933333333333334,1000,0.0,0.05333333333333334,0.5866666666666668,1000,0.0,0.02666666666666667,0.4266666666666667
1250,0.0,0.0,0.13333333333333333,1250,0.0,0.02666666666666667,0.37333333333333335,1250,0.05333333333333334,0.4266666666666667,1.706666666666667,1250,0.0,0.0,0.37333333333333335,1250,0.0,0.05333333333333334,1.1733333333333336
1500,0.02666666666666667,0.02666666666666667,0.6133333333333334,1500,0.02666666666666667,0.16,1.1733333333333336,1500,0.4,1.4933333333333334,3.946666666666666,1500,0.0,0.02666666666666667,0.37333333333333335,1500,0.02666666666666667,0.18666666666666668,0.9066666666666667
1750,0.0,0.13333333333333333,1.2266666666666668,1750,0.0,0.05333333333333334,0.48,1750,0.08,1.3066666666666666,3.413333333333333,1750,0.0,0.08,0.3733333333333333,1750,0.0,0.05333333333333334,1.0133333333333334
2000,0.0,0.18666666666666668,1.12,2000,0.02666666666666667,0.10666666666666667,0.64,2000,0.08,0.4,1.7333333333333334,2000,0.02666666666666667,0.3466666666666667,1.6533333333333335,2000,0.0,0.16,0.8266666666666668
2250,0.0,0.10666666666666667,0.8000000000000002,2250,0.0,0.10666666666666667,0.9066666666666667,2250,0.08,0.4,1.52,2250,0.02666666666666667,0.13333333333333333,1.0133333333333334,2250,0.05333333333333334,0.13333333333333333,0.8
2500,0.0,0.05333333333333334,0.56,2500,0.02666666666666667,0.13333333333333333,0.9866666666666667,2500,0.0,0.3466666666666667,1.8933333333333335,2500,0.0,0.08,0.7733333333333332,2500,0.13333333333333333,0.4,1.5466666666666666
2750,0.0,0.02666666666666667,0.4266666666666667,2750,0.0,0.02666666666666667,0.5333333333333333,2750,0.0,0.08,0.6133333333333334,2750,0.10666666666666667,0.5333333333333333,1.52,2750,0.32,1.6,4.266666666666667
3000,0.0,0.21333333333333335,1.28,3000,0.0,0.02666666666666667,0.7466666666666667,3000,0.0,0.02666666666666667,0.5866666666666668,3000,0.18666666666666668,0.5866666666666668,2.2133333333333334,3000,0.48,2.08,4.346666666666667
